danceability,energy,tempo,loudness,valence,track_name,artist_name,genre,Cluster,Mood
0.382,0.283,138.966,-15.787,0.44,Steppin-Stone,Richard Elliott,Jazz,1,😢 Sad / Acoustic
0.501,0.0474,98.67,-29.327,0.0388,The Butler Speaks,George Bruns,Movie,1,😢 Sad / Acoustic
0.61,0.734,111.698,-9.862,0.701,I Wanna Go Back,Eddie Money,Country,0,🎉 Party / Happy
0.159,0.178,103.783,-17.107,0.163,"Balletto a 3 in G Major, Op. 3 No. 3: I. Preludio: Largo",Tomaso Albinoni,Opera,1,😢 Sad / Acoustic
0.676,0.557,99.955,-5.509,0.661,Ladies Don't Play Guitar,Tennis,Indie,0,🎉 Party / Happy
0.662,0.896,90.622,-5.311,0.79,Bandoleros,Don Omar,Reggaeton,0,🎉 Party / Happy
0.695,0.275,97.139,-12.916,0.626,Each Other,Random Rab,World,3,😌 Chill / Neutral
0.43,0.895,169.938,-2.69,0.591,Trashbag Baby,SWMRS,Rock,2,🎸 Energetic / Hype
0.64,0.566,159.978,-9.292,0.484,No One Like You - KAYTRANADA Remix,Robert Glasper Experiment,R&B,2,🎸 Energetic / Hype
0.456,0.516,77.058,-10.512,0.684,Different (feat. Yung Bans),Future,Rap,3,😌 Chill / Neutral
0.71,0.86,110.054,-4.723,0.618,人質交換,DECO*27,Anime,0,🎉 Party / Happy
0.778,0.587,137.09,-8.444,0.823,Confucius,The Skatalites,Ska,0,🎉 Party / Happy
0.798,0.303,130.035,-14.695,0.0746,Maliantiando,Ele A El Dominio,Reggaeton,3,😌 Chill / Neutral
0.568,0.733,130.892,-13.273,0.103,Not Fancy,Anjelah Johnson,Comedy,3,😌 Chill / Neutral
0.168,0.141,164.226,-18.347,0.168,"Someone's Waiting for You - From ""The Rescuers""/Soundtrack Version",Shelby Flint,Movie,1,😢 Sad / Acoustic
0.746,0.265,116.948,-12.179,0.237,Put That Away And Talk To Me,James Blake,R&B,3,😌 Chill / Neutral
0.45,0.319,120.038,-15.486,0.175,Without Shadow,Nobuo Uematsu,Anime,1,😢 Sad / Acoustic
0.31,0.312,82.894,-14.064,0.115,Kevin Comes Through,Randy Newman,Movie,1,😢 Sad / Acoustic
0.689,0.475,143.006,-9.019,0.255,Left with a Gun,Skinshape,Jazz,3,😌 Chill / Neutral
0.368,0.18,72.981,-17.869,0.14,Treaty,Leonard Cohen,Folk,1,😢 Sad / Acoustic
0.773,0.528,97.997,-8.331,0.319,Escape,Holmsey,Soul,3,😌 Chill / Neutral
0.698,0.561,92.974,-8.326,0.71,Body Language,Boney James,Jazz,0,🎉 Party / Happy
0.41,0.0514,65.828,-24.708,0.122,"2 Arabesques in E Major, L. 66: I. Andantino con moto",Claude Debussy,Classical,1,😢 Sad / Acoustic
0.795,0.712,146.01,-6.251,0.327,ON GOD (feat. Young Thug),Juice WRLD,Rap,2,🎸 Energetic / Hype
0.59,0.964,127.996,-6.909,0.537,Return to Patagonia,Lemon Jelly,Electronic,2,🎸 Energetic / Hype
0.673,0.607,100.023,-7.672,0.898,LDN,Lily Allen,Folk,0,🎉 Party / Happy
0.754,0.646,133.446,-8.203,0.903,Zion Livity,SOJA,Reggae,0,🎉 Party / Happy
0.502,0.384,124.026,-11.916,0.116,Empires - Live,Hillsong UNITED,Children’s Music,3,😌 Chill / Neutral
0.437,0.934,144.135,-3.227,0.431,Aftermath,Royal Tusk,Children’s Music,2,🎸 Energetic / Hype
0.205,0.923,183.253,-5.339,0.253,Alones - Last Dance Version,Aqua Timez,Anime,2,🎸 Energetic / Hype
0.545,0.796,89.994,-4.779,0.356,Wings (Kharfi Remix),ARMNHMR,Electronic,3,😌 Chill / Neutral
0.554,0.978,135.095,-3.554,0.594,Faint,Linkin Park,Alternative,2,🎸 Energetic / Hype
0.504,0.759,143.984,-4.27,0.413,For the Life of Me,Trent Tomlinson,Country,2,🎸 Energetic / Hype
0.516,0.697,113.965,-7.823,0.229,Hosanna (Praise Is Rising) - Live,Maranatha! Music,World,3,😌 Chill / Neutral
0.674,0.771,155.3,-5.943,0.966,La Dosis Perfecta,Panteon Rococo,Ska,0,🎉 Party / Happy
0.591,0.703,95.993,-6.211,0.402,Automatic,Miranda Lambert,Rock,3,😌 Chill / Neutral
0.502,0.594,153.687,-5.031,0.349,End of the Day,One Direction,Pop,2,🎸 Energetic / Hype
0.234,0.328,88.95,-17.296,0.23,"Fantasie in C Major, Op. 17: II. Mäßig (Live)",Robert Schumann,Classical,1,😢 Sad / Acoustic
0.456,0.722,168.011,-12.615,0.0393,Soundboy Ext.,Skee Mask,Electronic,2,🎸 Energetic / Hype
0.635,0.812,78.018,-5.604,0.716,Star Scat,Caravan Palace,Jazz,0,🎉 Party / Happy
0.398,0.0951,78.659,-25.748,0.554,"Diabelli Variations, Op. 120: Var. 25, Allegro",Ludwig van Beethoven,Classical,1,😢 Sad / Acoustic
0.607,0.589,130.431,-4.929,0.069,Bugatti,Ace Hood,Hip-Hop,3,😌 Chill / Neutral
0.514,0.532,113.821,-17.026,0.553,Bonde,Ali Farka Touré,World,3,😌 Chill / Neutral
0.674,0.529,109.972,-8.518,0.629,Long Time Ago,Current Swell,Reggae,0,🎉 Party / Happy
0.606,0.636,120.04,-4.559,0.452,I Am Not a Robot,MARINA,Indie,3,😌 Chill / Neutral
0.77,0.654,128.084,-6.51,0.194,A Tu Nombre (feat. Lito Kirino & Kapuchino),Gigolo,Reggaeton,3,😌 Chill / Neutral
0.717,0.901,172.002,-5.311,0.96,Ganas Bien Cabronas de Verte,Jamsha,Reggaeton,2,🎸 Energetic / Hype
0.832,0.731,90.069,-4.815,0.712,Prrrum,Cosculluela,Hip-Hop,0,🎉 Party / Happy
0.603,0.918,102.473,-6.652,0.452,Money,The Drums,Children’s Music,0,🎉 Party / Happy
0.477,0.897,138.79,-7.938,0.175,The Differences In Years,Bill Engvall,Comedy,2,🎸 Energetic / Hype
0.555,0.949,71.538,-11.514,0.184,Reasons to Call in Sick,Rodney Carrington,Comedy,3,😌 Chill / Neutral
0.69,0.776,143.994,-5.998,0.88,Money,Zion,Reggaeton,0,🎉 Party / Happy
0.551,0.284,173.945,-11.05,0.228,That Year,Brandi Carlile,Folk,2,🎸 Energetic / Hype
0.828,0.662,105.014,-6.419,0.847,Outrageous,Britney Spears,R&B,0,🎉 Party / Happy
0.491,0.116,114.218,-21.216,0.137,Cleaning the Cab,Bernard Herrmann,Soundtrack,1,😢 Sad / Acoustic
0.243,0.532,68.715,-13.095,0.0676,Ontological Shock,Don Davis,Soundtrack,1,😢 Sad / Acoustic
0.396,0.485,137.373,-10.896,0.188,"Battle with the Forces of Evil - From ""Sleeping Beauty""/Score",George Bruns,Movie,3,😌 Chill / Neutral
0.534,0.783,69.716,-4.013,0.334,Tony Tone,A$AP Rocky,Pop,3,😌 Chill / Neutral
0.782,0.795,76.99,-4.831,0.59,Aguajera,J-King y Maximan,Reggaeton,0,🎉 Party / Happy
0.576,0.515,95.406,-6.178,0.407,"Lions, Tigers & Bears",Jazmine Sullivan,R&B,3,😌 Chill / Neutral
0.559,0.933,141.939,-7.51,0.45,Make It Right,Foo Fighters,Alternative,2,🎸 Energetic / Hype
0.559,0.524,157.465,-13.784,0.879,Angry Eyes - Single Version,Loggins & Messina,Country,2,🎸 Energetic / Hype
0.573,0.752,134.118,-8.32,0.697,O.D.'d On Life Itself,Blue Öyster Cult,Blues,0,🎉 Party / Happy
0.203,0.0759,68.088,-22.395,0.0397,"The Snow, Op. 26 No. 1",Edward Elgar,Classical,1,😢 Sad / Acoustic
0.531,0.904,78.299,-4.139,0.342,Turtleman,Al Madrigal,Comedy,3,😌 Chill / Neutral
0.49,0.712,87.495,-6.954,0.597,Fake Names,Freddie Gibbs,Alternative,0,🎉 Party / Happy
0.696,0.367,85.74,-8.181,0.429,Funny Little Bunny,Kimbo Children's Music,Children's Music,3,😌 Chill / Neutral
0.446,0.726,174.348,-7.192,0.647,Murderer,The Skints,Ska,2,🎸 Energetic / Hype
0.439,0.447,121.48,-8.318,0.11,Gangsta,Kehlani,R&B,3,😌 Chill / Neutral
0.672,0.302,129.22,-16.609,0.574,"Caplets: August, 2016",John Caparulo,Comedy,3,😌 Chill / Neutral
0.661,0.368,112.891,-7.342,0.211,Dreams,Solange,Children’s Music,3,😌 Chill / Neutral
0.351,0.658,124.898,-10.416,0.513,Adieu les jolis foulards - Live,Chantal Goya,Movie,2,🎸 Energetic / Hype
0.536,0.697,145.068,-6.016,0.631,Flor De Fuego,Caramelos De Cianuro,Reggaeton,2,🎸 Energetic / Hype
0.399,0.88,102.859,-8.787,0.932,Can I Change My Mind? (Live),Roy Buchanan,Blues,0,🎉 Party / Happy
0.831,0.667,74.999,-3.605,0.383,Drop Top,88GLAM,Hip-Hop,0,🎉 Party / Happy
0.55,0.448,181.502,-7.298,0.179,Lonely,NAV,Rap,2,🎸 Energetic / Hype
0.462,0.237,128.007,-10.02,0.155,Cover Me Up - Recorded at Spotify Studios NYC,Zac Brown Band,Rock,3,😌 Chill / Neutral
0.434,0.843,121.809,-9.654,0.428,Giving Back,Sam Kinison,Comedy,2,🎸 Energetic / Hype
0.458,0.539,118.928,-12.402,0.56,Woodstock,"Crosby, Stills, Nash & Young",Blues,3,😌 Chill / Neutral
0.505,0.324,135.336,-10.16,0.257,The Island,JJ Grey & Mofro,Blues,3,😌 Chill / Neutral
0.514,0.566,84.933,-12.691,0.643,Boxed Sets,Todd Barry,Comedy,3,😌 Chill / Neutral
0.135,0.065,75.444,-22.832,0.0574,"Valse ""La plus que lente""",Claude Debussy,Classical,1,😢 Sad / Acoustic
0.397,0.507,117.971,-11.766,0.343,I'd Love To Change The World,Ten Years After,Rock,3,😌 Chill / Neutral
0.595,0.715,95.701,-8.315,0.849,Nugget,Cake,Children’s Music,0,🎉 Party / Happy
0.633,0.777,130.027,-4.995,0.299,Walking In My Shoes,FEVER 333,Children’s Music,2,🎸 Energetic / Hype
0.658,0.499,109.893,-8.906,0.633,Tyrant (feat. Daniel Caesar) - Remix,Kali Uchis,Children’s Music,0,🎉 Party / Happy
0.601,0.905,120.012,-4.007,0.75,So Close,Andrew McMahon in the Wilderness,Indie,0,🎉 Party / Happy
0.45,0.0437,63.938,-29.46,0.0988,Eleanor,Hank Jones,Jazz,1,😢 Sad / Acoustic
0.884,0.697,101.965,-6.022,0.322,Salt Shaker,Ying Yang Twins,Hip-Hop,0,🎉 Party / Happy
0.584,0.854,111.981,-5.089,0.468,Night One,Luke Bryan,Country,0,🎉 Party / Happy
0.672,0.622,100.016,-7.421,0.561,Better Off Gone,Logan Mize,Pop,0,🎉 Party / Happy
0.178,0.164,161.999,-11.971,0.0732,Nisciuno Po' Sape',Giuseppe Di Stefano,Opera,1,😢 Sad / Acoustic
0.417,0.389,86.873,-8.989,0.469,Never,Kristin Chenoweth,Movie,3,😌 Chill / Neutral
0.713,0.586,121.95,-4.432,0.449,Miéntele,Kartel Montana,Reggaeton,0,🎉 Party / Happy
0.81,0.516,109.998,-13.528,0.841,Thunder Love,Little Dragon,Electronic,0,🎉 Party / Happy
0.318,0.482,123.489,-11.677,0.236,Love Me In Whatever Way,James Blake,R&B,3,😌 Chill / Neutral
0.678,0.326,133.013,-7.901,0.312,FWU,Luke Christopher,Indie,3,😌 Chill / Neutral
0.303,0.728,165.874,-6.003,0.237,Shingetsu,SPITZ,Anime,2,🎸 Energetic / Hype
0.786,0.783,106.987,-5.598,0.449,BLUE MOON (Prod. GroovyRoom),Hyolyn,R&B,0,🎉 Party / Happy
0.341,0.108,94.916,-21.25,0.0393,Manon / Act 3: Je marche sur les chemins...Obéissons quand leur voix appelle),Jules Massenet,Opera,1,😢 Sad / Acoustic
0.572,0.422,84.984,-9.226,0.354,君と光,大原ゆい子,Anime,3,😌 Chill / Neutral
0.784,0.586,132.169,-3.417,0.656,D'Evils,SiR,R&B,0,🎉 Party / Happy
0.84,0.743,93.978,-6.663,0.856,Vicio De Ti,Wisin & Yandel,Reggaeton,0,🎉 Party / Happy
0.726,0.395,140.032,-11.245,0.561,foreign,gianni & kyle,Pop,0,🎉 Party / Happy
0.283,0.0924,107.482,-21.952,0.0406,"Lakmé: Viens, Mallika, ... Dôme épais (Flower Duet) - Excerpt",Léo Delibes,Opera,1,😢 Sad / Acoustic
